,track_id,track_name,artist,duration_ms,user,track_id,acousticness,danceability,energy,liveness,speechiness,instrumentalness,valence,loudness,tempo
0,7Hs6F6EqYCxzMXbAQ8L7P6,Tees Maar Khan,Sonu Nigam,255025,user2,7Hs6F6EqYCxzMXbAQ8L7P6,0.114,0.543,0.872,0.11,0.147,3.57e-05,0.82,-3.4,105.053
1,46t32pQpf5pqxBXCZnD3Sg,One Last Time,Westlife,175266,user1,46t32pQpf5pqxBXCZnD3Sg,0.37,0.618,0.638,0.0902,0.0427,0.0,0.517,-4.694,169.988
2,0OQzbOu5JGo2LgtwJI04zO,Daayre,Pritam,290548,user2,0OQzbOu5JGo2LgtwJI04zO,0.5,0.536,0.706,0.112,0.0274,0.00597,0.442,-5.897,113.972
3,0LjkQcdxdsbzQDbhXCqssp,Jag Mag,Amit Trivedi,192024,user2,0LjkQcdxdsbzQDbhXCqssp,0.129,0.873,0.8,0.0575,0.08,0.000123,0.887,-6.429,108.04
4,6D9crvdRbcSP2cZWiEjvnm,Ashq Na Ho - Asees Kaur Version,Asees Kaur,202127,user1,6D9crvdRbcSP2cZWiEjvnm,0.967,0.303,0.105,0.107,0.0377,0.0,0.199,-8.769,80.429
5,7Gkhsn8d4BOnnsLzOA2g35,"Thingalu Mulugidavo - From ""Simhadri""",Shankar Mahadevan,259086,user2,7Gkhsn8d4BOnnsLzOA2g35,0.0834,0.766,0.857,0.0574,0.099,1.96e-05,0.841,-6.788,135.035
6,5f1IaEneMjdPzlDQXknswD,Never Be Alone,Shawn Mendes,215813,user1,5f1IaEneMjdPzlDQXknswD,0.514,0.376,0.466,0.0781,0.0353,5.8e-05,0.276,-6.927,199.835
7,2S1Jdc3FfzIh8wh0RDmwGz,Ghorete Bhromor Elo Gun Guniye,Satarupa Dhar,154644,user1,2S1Jdc3FfzIh8wh0RDmwGz,0.776,0.714,0.534,0.299,0.0289,0.0,0.707,-6.507,109.952
8,45mrPZ4Mqb0pn2RlZdEYtH,Phurrr - Film Version,Pritam,205500,user1,45mrPZ4Mqb0pn2RlZdEYtH,0.0077,0.521,0.853,0.114,0.0538,0.0,0.587,-5.131,79.953
9,7bpd5E3dqChouEvpNKwile,Tu Jo Mila (Dekhna Na Mud Ke),Pritam,249108,user1,7bpd5E3dqChouEvpNKwile,0.857,0.575,0.596,0.263,0.0299,0.0111,0.381,-7.755,124.952
10,2iR7urSs05m4kyRzoh1zCl,Maybe Tomorrow,Westlife,188106,user1,2iR7urSs05m4kyRzoh1zCl,0.0231,0.456,0.523,0.105,0.0264,0.0,0.324,-6.491,75.002
11,3DX4Y0egvc0slLcLl31h2p,Secrets,The Weeknd,265600,user2,3DX4Y0egvc0slLcLl31h2p,0.0155,0.665,0.771,0.46,0.0533,9.6e-06,0.764,-5.779,109.948
12,1edP751qQSUaA1vo7Hva3w,breathin - live,Ariana Grande,208294,user1,1edP751qQSUaA1vo7Hva3w,0.0454,0.322,0.874,0.945,0.2,2.27e-06,0.171,-2.893,98.089
